,label,level,tag,text,url
272,None,14,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
273,None,14,h2,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
274,None,14,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
275,None,15,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
276,None,11,hr,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
277,None,11,article,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
278,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
279,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
280,None,14,div,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
281,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
282,None,14,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
283,None,14,h2,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
284,None,14,p,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
285,None,15,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
286,None,11,hr,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
287,None,11,article,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
288,None,12,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
289,None,13,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
